ASTRTRM	Acarospora_strigata_TRM_02.24.10-24
Afum	Aspergillus_fumigatus_Af293
EURHE	Aspergillus_ruber_CBS135680
PV07	Cladophialophora_immunda_CBS83496
NOXB01	Cladosporium_cladosporioides_TYU
AFPA01	Exophiala_dermatitidis_NIH.UT8656
NAJM01	Exophiala_mesophila_CCFEE6314
CCFEE5311	Friedmanniomyces_endolithicus_CCFEE5311
B0A55	Friedmanniomyces_simplex_CCFEE5184
NAJL01	Hortaea_thailandica_CCFEE6315
MUNK01	Hortaea_werneckii_EXF-2000-UCR
B0A48	Rachicladosporium_antarcticum_CCFEE5527
B0A51	Rachicladosporium_monterosium_CCFEE5018
Sacce1	Saccharomyces_cerevisiae
Schpo1	Schizosaccharomyces_pombe
